Daytime/evening_attendance_,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,International,Curricular_units_1st_sem_(credited),Curricular_units_1st_sem_(enrolled),Curricular_units_1st_sem_(evaluations),Curricular_units_1st_sem_(approved),Curricular_units_1st_sem_(grade),Curricular_units_1st_sem_(without_evaluations),Curricular_units_2nd_sem_(credited),Curricular_units_2nd_sem_(enrolled),Curricular_units_2nd_sem_(evaluations),Curricular_units_2nd_sem_(approved),Curricular_units_2nd_sem_(grade),Curricular_units_2nd_sem_(without_evaluations),Unemployment_rate,Inflation_rate,GDP,Marital_status_1,Marital_status_2,Marital_status_3,Marital_status_4,Marital_status_5,Marital_status_6,Application_mode_1,Application_mode_2,Application_mode_5,Application_mode_7,Application_mode_10,Application_mode_15,Application_mode_16,Application_mode_17,Application_mode_18,Application_mode_26,Application_mode_27,Application_mode_39,Application_mode_42,Application_mode_43,Application_mode_44,Application_mode_51,Application_mode_53,Application_mode_57,Course_33,Course_171,Course_8014,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147,Course_9238,Course_9254,Course_9500,Course_9556,Course_9670,Course_9773,Course_9853,Course_9991,Nacionality_1,Nacionality_2,Nacionality_6,Nacionality_11,Nacionality_13,Nacionality_14,Nacionality_17,Nacionality_21,Nacionality_22,Nacionality_24,Nacionality_25,Nacionality_26,Nacionality_32,Nacionality_41,Nacionality_62,Nacionality_100,Nacionality_101,Nacionality_103,Nacionality_105,Nacionality_108,Nacionality_109,Father's_occupation_195,is_application_order_1,is_application_order_2,is_application_order_3_or_more,is_sem1_grade_0,is_sem2_grade_0,approval_rate_sem1,approval_rate_sem2,grade_delta,Progress_Lag,mother_qual_level,mother_qual_lvl_0,mother_qual_lvl_1,mother_qual_lvl_2,mother_qual_lvl_3,mother_qual_lvl_4,mother_qual_lvl_5,father_qual_level,father_qual_lvl_0,father_qual_lvl_1,father_qual_lvl_2,father_qual_lvl_3,father_qual_lvl_4,father_qual_lvl_5,prev_qual_level,prev_qual_lvl_0,prev_qual_lvl_1,prev_qual_lvl_2,prev_qual_lvl_3,prev_qual_lvl_4,prev_qual_lvl_5,age_lt20,age_20_25,age_25_35,age_35plus,financial_risk,Target,Target_str
1,0.2501235920555434,1,0,0,1,0,0,0,-0.3008130582498372,-0.109105147316254,-0.5501920153441094,0.4180498886958897,0.3494675300655368,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,-0.2693577879869185,0.1871652616079112,0.761924648468288,-0.199440991148615,0.8762220667652447,-1.1052215545807416,0.347199421388147,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8272466619352101,0.4517308875667858,0.7879736938250035,1,-0.5887974004118917,0,1,0,0,0,0,0.1864646628691975,0,0,1,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,-0.5302435328113464,1,0,0,1,0,1,0,-0.3008130582498372,0.6973796843079865,-0.0715666145217044,0.741267768386665,0.531365381698775,-0.1992730314841147,-0.2824423108896146,0.8051441857612031,-0.016033201665888,0.8506421184615969,0.5727360008522585,-0.199440991148615,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4849736221463366,0.5605436224239077,0.1420792050497829,2,0.0085059014505731,0,0,1,0,0,0,-0.4471141916110865,0,1,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,0.2224999770160071,1,0,0,1,0,0,0,-0.3008130582498372,-0.109105147316254,-0.5501920153441094,-1.5212573894487618,-2.1971023927998017,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,-2.0426298922341317,-1.471526880526303,-1.963488622985818,-0.199440991148615,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1.9109376563757776,-1.724523809575654,0.1420792050497829,12,0.0085059014505731,0,0,1,0,0,0,-1.0806930460913706,1,0,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,0,Dropout
1,-1.0481863148026451,1,0,0,1,0,1,0,-0.3008130582498372,-0.109105147316254,-0.3108793149329069,0.4180498886958897,-0.0143281732009402,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,-0.016033201665888,0.1871652616079112,0.1477470098307431,-0.199440991148615,-1.0009723271182625,0.1243864731841758,1.545606837207885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8272466619352101,0.4517308875667858,0.2903713070645021,1,0.6058092033130379,0,0,0,1,0,0,0.8200435173494817,0,0,0,1,0,0,1.6612010403508315,0,0,0,0,1,0,0,1,0,0,0,2,Graduate
1,0.6990073364480024,1,0,0,1,0,1,0,-0.3008130582498372,-0.5123475631283743,-0.3108793149329069,-0.2283858706856607,0.5387396189271497,-0.1992730314841147,-0.2824423108896146,-0.5611610991668988,-0.7760069606289794,0.1871652616079112,0.3396775219049759,-0.199440991148615,-0.2876384574425296,0.1243864731841758,0.7657608350016585,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2796097982730127,0.8869818269952736,-0.2904394258264811,1,-0.5887974004118917,0,1,0,0,0,0,-1.0806930460913706,1,0,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,-0.4335608801729703,1,0,0,1,0,0,0,-0.3008130582498372,-0.109105147316254,-0.5501920153441094,0.0948320090051144,0.5284156868074252,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,-0.2693577879869185,-1.471526880526303,-1.963488622985818,-0.199440991148615,1.476924272807967,1.1370048489905784,-1.7896667428492534,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3708826088833789,-1.724523809575654,-4.425317537003565,7,0.0085059014505731,0,0,1,0,0,0,-1.0806930460913706,1,0,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,0,1,0,0,0,0,Dropout
1,0.7197250477276551,1,0,0,1,0,0,0,-0.3008130582498372,-0.109105147316254,0.4070587863007005,-1.1980395097579866,0.280641315934041,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,1.5039143162602946,-0.8080500236726174,0.1477470098307431,-0.199440991148615,-0.2876384574425296,0.1243864731841758,0.7657608350016585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.4545736033239465,-0.8540219307186782,-0.2039356996512282,9,0.0085059014505731,0,0,1,0,0,0,-0.4471141916110865,0,1,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,1,Enrolled
1,0.0222287679793722,1,0,0,1,0,0,0,-0.3008130582498372,0.2941372684958662,-0.0715666145217044,0.741267768386665,0.5503540425618396,-0.1992730314841147,-0.2824423108896146,0.8051441857612031,-0.016033201665888,1.18238054688844,0.8281406751338984,-0.199440991148615,1.476924272807967,1.1370048489905784,-1.7896667428492534,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8272466619352101,0.8869818269952736,0.5707051682481605,0,0.0085059014505731,0,0,1,0,0,0,0.8200435173494817,0,0,0,1,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,0.6437601063689317,1,0,0,1,0,0,0,-0.3008130582498372,-0.5123475631283743,-0.0715666145217044,-0.2283858706856607,0.3838806371312845,1.248319565044167,-0.2824423108896146,-0.5611610991668988,-0.016033201665888,-0.1445731668189316,0.3876601499235341,2.4541738805550626,-0.2876384574425296,0.1243864731841758,0.7657608350016585,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2796097982730127,0.3646806996810882,0.0555754788745301,2,1.8004158070379674,0,0,0,0,0,1,0.1864646628691975,0,0,1,0,0,0,-0.1733355054584742,0,0,0,1,0,0,0,1,0,0,0,2,Graduate
1,-0.1642306335374955,1,0,0,1,0,0,0,-0.3008130582498372,0.2941372684958662,-0.3108793149329069,0.4180498886958897,0.2118151018025453,-0.1992730314841147,-0.2824423108896146,0.3497090907851691,-0.016033201665888,0.518903690034754,0.6275732900163251,-0.199440991148615,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4360774736050689,0.5139095931994268,0.7764398636683038,2,0.0085059014505731,0,0,1,0,0,0,0.1864646628691975,0,0,1,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,1,Enrolled
1,-0.4611844952125066,0,0,0,1,0,1,0,-0.3008130582498372,-2.5285596421889753,-1.9860682178113245,-1.5212573894487618,-2.1971023927998017,-0.1992730314841147,-0.2824423108896146,-2.8383365740470685,-2.0426298922341317,-1.471526880526303,-1.963488622985818,-0.199440991148615,-0.1750067938095195,-0.454252598705197,0.8891263042772198,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1.9109376563757776,-1.724523809575654,0.1420792050497829,0,0.6058092033130379,0,0,0,1,0,0,0.8200435173494817,0,0,0,1,0,0,-0.1733355054584742,0,0,0,1,0,0,0,1,0,0,0,2,Graduate
1,-0.3575959388142468,1,0,0,1,0,0,0,-0.3008130582498372,0.2941372684958662,1.3643095879455105,0.741267768386665,0.1644970795871422,-0.1992730314841147,-0.2824423108896146,0.8051441857612031,0.2372913846551423,1.18238054688844,0.2293174774622921,-0.199440991148615,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8272466619352101,0.8869818269952736,0.1377540187410205,0,0.6058092033130379,0,0,0,1,0,0,-0.4471141916110865,0,1,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,0,1,0,0,0,1,Enrolled
1,-0.1020774996985392,1,0,0,1,0,0,0,-0.3008130582498372,0.6973796843079865,0.8856841871231055,0.741267768386665,0.4576230094150299,-0.1992730314841147,-0.2824423108896146,0.8051441857612031,0.9972651436182336,0.8506421184615969,0.5041893893971755,-0.199440991148615,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4849736221463366,0.5605436224239077,0.1420792050497829,2,0.0085059014505731,0,0,1,0,0,0,0.1864646628691975,0,0,1,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,-0.8341032982462411,1,0,0,1,0,1,0,-0.3008130582498372,-0.109105147316254,-0.0715666145217044,0.4180498886958897,0.5645494492264606,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,-0.2693577879869185,0.518903690034754,0.3945148110690425,-0.199440991148615,-0.1750067938095195,-0.454252598705197,0.8891263042772198,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8272466619352101,0.8869818269952736,-0.2348298875709611,0,0.6058092033130379,0,0,0,1,0,0,-0.4471141916110865,0,1,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,-0.2125719598566826,0,0,0,1,0,0,0,-0.3008130582498372,0.2941372684958662,-0.0715666145217044,0.4180498886958897,0.5483752889055594,-0.1992730314841147,-0.2824423108896146,0.8051441857612031,0.2372913846551423,0.8506421184615969,0.745473461719068,-0.199440991148615,-0.1750067938095195,-0.454252598705197,0.8891263042772198,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4360774736050689,0.5605436224239077,0.4249875818934184,2,0.0085059014505731,0,0,1,0,0,0,0.1864646628691975,0,0,1,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,2,Graduate
1,2.073282184664915,1,0,1,1,0,1,0,-0.3008130582498372,-0.109105147316254,-0.0715666145217044,0.0948320090051144,0.1980498589762462,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,0.9972651436182336,-0.1445731668189316,0.1477470098307431,-0.199440991148615,-1.4890428695279747,0.9923450810182352,0.1401216693898834,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3708826088833789,0.0164799481382976,-0.0655297377708236,3,0.0085059014505731,0,0,1,0,0,0,-0.4471141916110865,0,1,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,1,1,Enrolled
1,-0.7305147418479814,1,0,0,1,0,0,0,-0.3008130582498372,-0.109105147316254,0.167746085889498,0.4180498886958897,0.1515921644374867,-0.1992730314841147,-0.2824423108896146,-0.1057260041908648,0.2372913846551423,0.518903690034754,0.5864453231432754,-0.199440991148615,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8272466619352101,0.8869818269952736,0.8032148265320725,0,0.0085059014505731,0,0,1,0,0,0,-0.4471141916110865,0,1,0,0,0,0,-0.1733355054584742,0,0,0,1,0,0,0,1,0,0,0,2,Graduate
1,0.2777472070950798,1,0,0,1,0,0,0,-0.3008130582498372,-0.5123475631283743,0.167746085889498,0.0948320090051144,0.4182937441970322,2.695912161572449,-0.2824423108896146,-0.5611610991668988,-0.2693577879869185,-0.1445731668189316,0.5316080339792087,-0.199440991148615,-0.8132528877299118,-1.466870974511599,-1.3755112388527264,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8272466619352101,0.3646806996810882,0.2574175066167869,1,0.0085059014505731,0,0,1,0,0,0,0.1864646628691975,0,0,1,0,0,0,-0.1733355054584742,0,0,0,1,0,0,1,0,0,0,0,1,Enrolled
